source_record_id,project_name,agency_name,province,procurement_method,procurement_category,budget_amount,winning_amount,winner_name,announcement_date,contract_date,source_url,raw_text
SAMPLE-0011,Construction of community service building 011,Sample Education Service Area D,Khon Kaen,e-market,Education,1094500,1006940,Sample Vendor L,2025-12-12,2025-12-24,https://example.org/sample-procurement/11,Sample/demo procurement record only. Agency Sample Education Service Area D plans Construction of community service building 011. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0012,Medical equipment procurement for outpatient unit 012,Sample Highway District E,Chonburi,e-bidding,Utilities,1186000,1108910,Sample Vendor A,2025-01-13,2025-01-25,https://example.org/sample-procurement/12,Sample/demo procurement record only. Agency Sample Highway District E plans Medical equipment procurement for outpatient unit 012. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0013,School internet and classroom device upgrade 013,Sample Digital Service Center F,Songkhla,specific selection,Transport,1277500,1213625,Sample Vendor B,2025-02-14,2025-02-26,https://example.org/sample-procurement/13,Sample/demo procurement record only. Agency Sample Digital Service Center F plans School internet and classroom device upgrade 013. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0014,Water pump maintenance and replacement 014,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,1369000,1177340,Sample Vendor C,2025-03-15,2025-03-27,https://example.org/sample-procurement/14,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Water pump maintenance and replacement 014. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0015,Road surface improvement and traffic safety work 015,Sample Public Health Office H,Udon Thani,e-market,Public Health,1460500,1277938,Sample Vendor D,2025-04-16,2025-04-01,https://example.org/sample-procurement/15,Sample/demo procurement record only. Agency Sample Public Health Office H plans Road surface improvement and traffic safety work 015. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0016,Office computer and printer replacement 016,Sample Provincial Office A,Bangkok,e-bidding,IT,1552000,1381280,Sample Vendor E,2025-05-17,2025-05-02,https://example.org/sample-procurement/16,Sample/demo procurement record only. Agency Sample Provincial Office A plans Office computer and printer replacement 016. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0017,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 017,Sample Municipality B,Chiang Mai,specific selection,Construction,1643500,1487368,Sample Vendor F,2025-06-18,2025-06-03,https://example.org/sample-procurement/17,Sample/demo procurement record only. Agency Sample Municipality B plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 017. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0018,IT cybersecurity monitoring subscription 018,Sample Hospital C,Phuket,market inquiry,Medical Supplies,1573000,1447160,Sample Vendor G,2025-07-19,2025-07-04,https://example.org/sample-procurement/18,Sample/demo procurement record only. Agency Sample Hospital C plans IT cybersecurity monitoring subscription 018. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0019,Solar lighting installation for public area 019,Sample Education Service Area D,Khon Kaen,e-market,Education,1664500,1556308,Sample Vendor H,2025-08-20,2025-08-05,https://example.org/sample-procurement/19,Sample/demo procurement record only. Agency Sample Education Service Area D plans Solar lighting installation for public area 019. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0020,IT network upgrade for public service office 020,Sample Highway District E,Chonburi,e-bidding,Utilities,1756000,1668200,Sample Vendor I,2025-09-21,2025-09-06,https://example.org/sample-procurement/20,Sample/demo procurement record only. Agency Sample Highway District E plans IT network upgrade for public service office 020. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0021,Construction of community service building 021,Sample Digital Service Center F,Songkhla,specific selection,Transport,1847500,1588850,Sample Vendor J,2025-10-22,2025-10-07,https://example.org/sample-procurement/21,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Construction of community service building 021. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0022,Medical equipment procurement for outpatient unit 022,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,1939000,1696625,Sample Vendor K,2025-11-23,2025-11-08,https://example.org/sample-procurement/22,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Medical equipment procurement for outpatient unit 022. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0023,School internet and classroom device upgrade 023,Sample Public Health Office H,Udon Thani,e-market,Public Health,2030500,1807145,Sample Vendor L,2025-12-24,2025-12-09,https://example.org/sample-procurement/23,Sample/demo procurement record only. Agency Sample Public Health Office H plans School internet and classroom device upgrade 023. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0024,Water pump maintenance and replacement 024,Sample Provincial Office A,Bangkok,e-bidding,IT,2122000,1920410,Sample Vendor A,2025-01-25,2025-01-10,https://example.org/sample-procurement/24,Sample/demo procurement record only. Agency Sample Provincial Office A plans Water pump maintenance and replacement 024. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0025,Road surface improvement and traffic safety work 025,Sample Municipality B,Chiang Mai,specific selection,Construction,2213500,2036420,Sample Vendor B,2025-02-26,2025-02-11,https://example.org/sample-procurement/25,Sample/demo procurement record only. Agency Sample Municipality B plans Road surface improvement and traffic safety work 025. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0026,Office computer and printer replacement 026,Sample Hospital C,Phuket,market inquiry,Medical Supplies,2305000,2155175,Sample Vendor C,2025-03-27,2025-03-12,https://example.org/sample-procurement/26,Sample/demo procurement record only. Agency Sample Hospital C plans Office computer and printer replacement 026. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0027,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 027,Sample Education Service Area D,Khon Kaen,e-market,Education,2234500,2122775,Sample Vendor D,2025-04-01,2025-04-13,https://example.org/sample-procurement/27,Sample/demo procurement record only. Agency Sample Education Service Area D plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 027. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0028,IT cybersecurity monitoring subscription 028,Sample Highway District E,Chonburi,e-bidding,Utilities,2326000,2000360,Sample Vendor E,2025-05-02,2025-05-14,https://example.org/sample-procurement/28,Sample/demo procurement record only. Agency Sample Highway District E plans IT cybersecurity monitoring subscription 028. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0029,Solar lighting installation for public area 029,Sample Digital Service Center F,Songkhla,specific selection,Transport,2417500,2115313,Sample Vendor F,2025-06-03,2025-06-15,https://example.org/sample-procurement/29,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Solar lighting installation for public area 029. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0030,IT network upgrade for public service office 030,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,2509000,2233010,Sample Vendor G,2025-07-04,2025-07-16,https://example.org/sample-procurement/30,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans IT network upgrade for public service office 030. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0031,Construction of community service building 031,Sample Public Health Office H,Udon Thani,e-market,Public Health,2600500,2353453,Sample Vendor H,2025-08-05,2025-08-17,https://example.org/sample-procurement/31,Sample/demo procurement record only. Agency Sample Public Health Office H plans Construction of community service building 031. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0032,Medical equipment procurement for outpatient unit 032,Sample Provincial Office A,Bangkok,e-bidding,IT,2692000,2476640,Sample Vendor I,2025-09-06,2025-09-18,https://example.org/sample-procurement/32,Sample/demo procurement record only. Agency Sample Provincial Office A plans Medical equipment procurement for outpatient unit 032. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0033,School internet and classroom device upgrade 033,Sample Municipality B,Chiang Mai,specific selection,Construction,2783500,2602573,Sample Vendor J,2025-10-07,2025-10-19,https://example.org/sample-procurement/33,Sample/demo procurement record only. Agency Sample Municipality B plans School internet and classroom device upgrade 033. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0034,Water pump maintenance and replacement 034,Sample Hospital C,Phuket,market inquiry,Medical Supplies,2875000,2731250,Sample Vendor K,2025-11-08,2025-11-20,https://example.org/sample-procurement/34,Sample/demo procurement record only. Agency Sample Hospital C plans Water pump maintenance and replacement 034. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0035,Road surface improvement and traffic safety work 035,Sample Education Service Area D,Khon Kaen,e-market,Education,2966500,2551190,Sample Vendor L,2025-12-09,2025-12-21,https://example.org/sample-procurement/35,Sample/demo procurement record only. Agency Sample Education Service Area D plans Road surface improvement and traffic safety work 035. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0036,Office computer and printer replacement 036,Sample Highway District E,Chonburi,e-bidding,Utilities,2896000,2534000,Sample Vendor A,2025-01-10,2025-01-22,https://example.org/sample-procurement/36,Sample/demo procurement record only. Agency Sample Highway District E plans Office computer and printer replacement 036. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0037,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 037,Sample Digital Service Center F,Songkhla,specific selection,Transport,2987500,2658875,Sample Vendor B,2025-02-11,2025-02-23,https://example.org/sample-procurement/37,Sample/demo procurement record only. Agency Sample Digital Service Center F plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 037. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0038,IT cybersecurity monitoring subscription 038,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,3079000,2786495,Sample Vendor C,2025-03-12,2025-03-24,https://example.org/sample-procurement/38,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans IT cybersecurity monitoring subscription 038. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0039,Solar lighting installation for public area 039,Sample Public Health Office H,Udon Thani,e-market,Public Health,3170500,2916860,Sample Vendor D,2025-04-13,2025-04-25,https://example.org/sample-procurement/39,Sample/demo procurement record only. Agency Sample Public Health Office H plans Solar lighting installation for public area 039. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0040,IT network upgrade for public service office 040,Sample Provincial Office A,Bangkok,e-bidding,IT,3262000,3049970,Sample Vendor E,2025-05-14,2025-05-26,https://example.org/sample-procurement/40,Sample/demo procurement record only. Agency Sample Provincial Office A plans IT network upgrade for public service office 040. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0041,Construction of community service building 041,Sample Municipality B,Chiang Mai,specific selection,Construction,3353500,3185825,Sample Vendor F,2025-06-15,2025-06-27,https://example.org/sample-procurement/41,Sample/demo procurement record only. Agency Sample Municipality B plans Construction of community service building 041. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0042,Medical equipment procurement for outpatient unit 042,Sample Hospital C,Phuket,market inquiry,Medical Supplies,3445000,2962700,Sample Vendor G,2025-07-16,2025-07-01,https://example.org/sample-procurement/42,Sample/demo procurement record only. Agency Sample Hospital C plans Medical equipment procurement for outpatient unit 042. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0043,School internet and classroom device upgrade 043,Sample Education Service Area D,Khon Kaen,e-market,Education,3536500,3094438,Sample Vendor H,2025-08-17,2025-08-02,https://example.org/sample-procurement/43,Sample/demo procurement record only. Agency Sample Education Service Area D plans School internet and classroom device upgrade 043. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0044,Water pump maintenance and replacement 044,Sample Highway District E,Chonburi,e-bidding,Utilities,3628000,3228920,Sample Vendor I,2025-09-18,2025-09-03,https://example.org/sample-procurement/44,Sample/demo procurement record only. Agency Sample Highway District E plans Water pump maintenance and replacement 044. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0045,Road surface improvement and traffic safety work 045,Sample Digital Service Center F,Songkhla,specific selection,Transport,3557500,3219538,Sample Vendor J,2025-10-19,2025-10-04,https://example.org/sample-procurement/45,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Road surface improvement and traffic safety work 045. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0046,Office computer and printer replacement 046,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,3649000,3357080,Sample Vendor K,2025-11-20,2025-11-05,https://example.org/sample-procurement/46,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Office computer and printer replacement 046. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0047,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 047,Sample Public Health Office H,Udon Thani,e-market,Public Health,3740500,3497368,Sample Vendor L,2025-12-21,2025-12-06,https://example.org/sample-procurement/47,Sample/demo procurement record only. Agency Sample Public Health Office H plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 047. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0048,IT cybersecurity monitoring subscription 048,Sample Provincial Office A,Bangkok,e-bidding,IT,3832000,3640400,Sample Vendor A,2025-01-22,2025-01-07,https://example.org/sample-procurement/48,Sample/demo procurement record only. Agency Sample Provincial Office A plans IT cybersecurity monitoring subscription 048. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0049,Solar lighting installation for public area 049,Sample Municipality B,Chiang Mai,specific selection,Construction,3923500,3374210,Sample Vendor B,2025-02-23,2025-02-08,https://example.org/sample-procurement/49,Sample/demo procurement record only. Agency Sample Municipality B plans Solar lighting installation for public area 049. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0050,IT network upgrade for public service office 050,Sample Hospital C,Phuket,market inquiry,Medical Supplies,4015000,3513125,Sample Vendor C,2025-03-24,2025-03-09,https://example.org/sample-procurement/50,Sample/demo procurement record only. Agency Sample Hospital C plans IT network upgrade for public service office 050. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0051,Construction of community service building 051,Sample Education Service Area D,Khon Kaen,e-market,Education,4106500,3654785,Sample Vendor D,2025-04-25,2025-04-10,https://example.org/sample-procurement/51,Sample/demo procurement record only. Agency Sample Education Service Area D plans Construction of community service building 051. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0052,Medical equipment procurement for outpatient unit 052,Sample Highway District E,Chonburi,e-bidding,Utilities,4198000,3799190,Sample Vendor E,2025-05-26,2025-05-11,https://example.org/sample-procurement/52,Sample/demo procurement record only. Agency Sample Highway District E plans Medical equipment procurement for outpatient unit 052. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0053,School internet and classroom device upgrade 053,Sample Digital Service Center F,Songkhla,specific selection,Transport,4289500,3946340,Sample Vendor F,2025-06-27,2025-06-12,https://example.org/sample-procurement/53,Sample/demo procurement record only. Agency Sample Digital Service Center F plans School internet and classroom device upgrade 053. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0054,Water pump maintenance and replacement 054,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,4219000,3944765,Sample Vendor G,2025-07-01,2025-07-13,https://example.org/sample-procurement/54,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Water pump maintenance and replacement 054. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0055,Road surface improvement and traffic safety work 055,Sample Public Health Office H,Udon Thani,e-market,Public Health,4310500,4094975,Sample Vendor H,2025-08-02,2025-08-14,https://example.org/sample-procurement/55,Sample/demo procurement record only. Agency Sample Public Health Office H plans Road surface improvement and traffic safety work 055. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0056,Office computer and printer replacement 056,Sample Provincial Office A,Bangkok,e-bidding,IT,4402000,3785720,Sample Vendor I,2025-09-03,2025-09-15,https://example.org/sample-procurement/56,Sample/demo procurement record only. Agency Sample Provincial Office A plans Office computer and printer replacement 056. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0057,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 057,Sample Municipality B,Chiang Mai,specific selection,Construction,4493500,3931813,Sample Vendor J,2025-10-04,2025-10-16,https://example.org/sample-procurement/57,Sample/demo procurement record only. Agency Sample Municipality B plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 057. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0058,IT cybersecurity monitoring subscription 058,Sample Hospital C,Phuket,market inquiry,Medical Supplies,4585000,4080650,Sample Vendor K,2025-11-05,2025-11-17,https://example.org/sample-procurement/58,Sample/demo procurement record only. Agency Sample Hospital C plans IT cybersecurity monitoring subscription 058. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0059,Solar lighting installation for public area 059,Sample Education Service Area D,Khon Kaen,e-market,Education,4676500,4232233,Sample Vendor L,2025-12-06,2025-12-18,https://example.org/sample-procurement/59,Sample/demo procurement record only. Agency Sample Education Service Area D plans Solar lighting installation for public area 059. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0060,IT network upgrade for public service office 060,Sample Highway District E,Chonburi,e-bidding,Utilities,4768000,4386560,Sample Vendor A,2025-01-07,2025-01-19,https://example.org/sample-procurement/60,Sample/demo procurement record only. Agency Sample Highway District E plans IT network upgrade for public service office 060. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0061,Construction of community service building 061,Sample Digital Service Center F,Songkhla,specific selection,Transport,4859500,4543633,Sample Vendor B,2025-02-08,2025-02-20,https://example.org/sample-procurement/61,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Construction of community service building 061. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0062,Medical equipment procurement for outpatient unit 062,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,4951000,4703450,Sample Vendor C,2025-03-09,2025-03-21,https://example.org/sample-procurement/62,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans Medical equipment procurement for outpatient unit 062. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0063,School internet and classroom device upgrade 063,Sample Public Health Office H,Udon Thani,e-market,Public Health,4880500,4197230,Sample Vendor D,2025-04-10,2025-04-22,https://example.org/sample-procurement/63,Sample/demo procurement record only. Agency Sample Public Health Office H plans School internet and classroom device upgrade 063. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0064,Water pump maintenance and replacement 064,Sample Provincial Office A,Bangkok,e-bidding,IT,4972000,4350500,Sample Vendor E,2025-05-11,2025-05-23,https://example.org/sample-procurement/64,Sample/demo procurement record only. Agency Sample Provincial Office A plans Water pump maintenance and replacement 064. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0065,Road surface improvement and traffic safety work 065,Sample Municipality B,Chiang Mai,specific selection,Construction,5063500,4506515,Sample Vendor F,2025-06-12,2025-06-24,https://example.org/sample-procurement/65,Sample/demo procurement record only. Agency Sample Municipality B plans Road surface improvement and traffic safety work 065. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0066,Office computer and printer replacement 066,Sample Hospital C,Phuket,market inquiry,Medical Supplies,5155000,4665275,Sample Vendor G,2025-07-13,2025-07-25,https://example.org/sample-procurement/66,Sample/demo procurement record only. Agency Sample Hospital C plans Office computer and printer replacement 066. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0067,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 067,Sample Education Service Area D,Khon Kaen,e-market,Education,5246500,4826780,Sample Vendor H,2025-08-14,2025-08-26,https://example.org/sample-procurement/67,Sample/demo procurement record only. Agency Sample Education Service Area D plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 067. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0068,IT cybersecurity monitoring subscription 068,Sample Highway District E,Chonburi,e-bidding,Utilities,5338000,4991030,Sample Vendor I,2025-09-15,2025-09-27,https://example.org/sample-procurement/68,Sample/demo procurement record only. Agency Sample Highway District E plans IT cybersecurity monitoring subscription 068. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0069,Solar lighting installation for public area 069,Sample Digital Service Center F,Songkhla,specific selection,Transport,5429500,5158025,Sample Vendor J,2025-10-16,2025-10-01,https://example.org/sample-procurement/69,Sample/demo procurement record only. Agency Sample Digital Service Center F plans Solar lighting installation for public area 069. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0070,IT network upgrade for public service office 070,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,5521000,4748060,Sample Vendor K,2025-11-17,2025-11-02,https://example.org/sample-procurement/70,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans IT network upgrade for public service office 070. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
SAMPLE-0071,Construction of community service building 071,Sample Public Health Office H,Udon Thani,e-market,Public Health,5612500,4910938,Sample Vendor L,2025-12-18,2025-12-03,https://example.org/sample-procurement/71,Sample/demo procurement record only. Agency Sample Public Health Office H plans Construction of community service building 071. Category Public Health; method e-market; province Udon Thani. No real agency claim is made.
SAMPLE-0072,Medical equipment procurement for outpatient unit 072,Sample Provincial Office A,Bangkok,e-bidding,IT,5542000,4932380,Sample Vendor A,2025-01-19,2025-01-04,https://example.org/sample-procurement/72,Sample/demo procurement record only. Agency Sample Provincial Office A plans Medical equipment procurement for outpatient unit 072. Category IT; method e-bidding; province Bangkok. No real agency claim is made.
SAMPLE-0073,School internet and classroom device upgrade 073,Sample Municipality B,Chiang Mai,specific selection,Construction,5633500,5098318,Sample Vendor B,2025-02-20,2025-02-05,https://example.org/sample-procurement/73,Sample/demo procurement record only. Agency Sample Municipality B plans School internet and classroom device upgrade 073. Category Construction; method specific selection; province Chiang Mai. No real agency claim is made.
SAMPLE-0074,Water pump maintenance and replacement 074,Sample Hospital C,Phuket,market inquiry,Medical Supplies,5725000,5267000,Sample Vendor C,2025-03-21,2025-03-06,https://example.org/sample-procurement/74,Sample/demo procurement record only. Agency Sample Hospital C plans Water pump maintenance and replacement 074. Category Medical Supplies; method market inquiry; province Phuket. No real agency claim is made.
SAMPLE-0075,Road surface improvement and traffic safety work 075,Sample Education Service Area D,Khon Kaen,e-market,Education,5816500,5438428,Sample Vendor D,2025-04-22,2025-04-07,https://example.org/sample-procurement/75,Sample/demo procurement record only. Agency Sample Education Service Area D plans Road surface improvement and traffic safety work 075. Category Education; method e-market; province Khon Kaen. No real agency claim is made.
SAMPLE-0076,Office computer and printer replacement 076,Sample Highway District E,Chonburi,e-bidding,Utilities,5908000,5612600,Sample Vendor E,2025-05-23,2025-05-08,https://example.org/sample-procurement/76,Sample/demo procurement record only. Agency Sample Highway District E plans Office computer and printer replacement 076. Category Utilities; method e-bidding; province Chonburi. No real agency claim is made.
SAMPLE-0077,ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 077,Sample Digital Service Center F,Songkhla,specific selection,Transport,5999500,5159570,Sample Vendor F,2025-06-24,2025-06-09,https://example.org/sample-procurement/77,Sample/demo procurement record only. Agency Sample Digital Service Center F plans ก่อสร้างระบบระบายน้ำชุมชนตัวอย่าง 077. Category Transport; method specific selection; province Songkhla. No real agency claim is made.
SAMPLE-0078,IT cybersecurity monitoring subscription 078,Sample Waterworks Authority G,Nakhon Ratchasima,market inquiry,Office Equipment,6091000,5329625,Sample Vendor G,2025-07-25,2025-07-10,https://example.org/sample-procurement/78,Sample/demo procurement record only. Agency Sample Waterworks Authority G plans IT cybersecurity monitoring subscription 078. Category Office Equipment; method market inquiry; province Nakhon Ratchasima. No real agency claim is made.
